#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;,
godoflight;God of Light;;;;;;,
godoflight_desc;This character is the God of Light!;;;;;;,
nick_the_godoflight;the God of Light;;;;;;,
title_godoflight;God of Light;;;;;;,
title_godoflight_desc;Make this character the God of Light!;;;;;;,
godofstrategy;God of Strategy;;;;;;,
godofstrategy_desc;This character is the God of Strategy!;;;;;;,
nick_the_godofstrategy;the God of Strategy;;;;;;,
title_godofstrategy;God of Strategy;;;;;;,
title_godofstrategy_desc;This character the God of Strategy!;;;;;;,
godoffortune;God of Fortune;;;;;;,
godoffortune_desc;This character is the God of Fortune!;;;;;;,
nick_the_godoffortune;the God of Fortune;;;;;;,
title_godoffortune;God of Fortune;;;;;;,
title_godoffortune_desc;Make this character the God of Fortune!;;;;;;,
godofsecrecy;God of Secrecy;;;;;;,
godofsecrecy_desc;This character is the God of Secrecy!;;;;;;,
nick_the_godofsecrecy;the God of Secrecy;;;;;;,
title_godofsecrecy;God of Secrecy;;;;;;,
title_godofsecrecy_desc;Make this character the God of Secrecy!;;;;;;,
godofknowledge;God of Knowledge;;;;;;,
godofknowledge_desc;This character is the God of Knowledge!;;;;;;,
nick_the_godofknowledge;the God of Knowledge;;;;;;,
title_godofknowledge;God of Knowledge;;;;;;,
title_godofknowledge_desc;Make this character the God of Knowledge!;;;;;;,
godoffertility;God of Fertility;;;;;;,
godoffertility_desc;This character is the God of Fertility!;;;;;;,
nick_the_godoffertility;the God of Fertility;;;;;;,
title_godoffertility;God of Fertility;;;;;;,
title_godoffertility_desc;Make this character the God of Fertility!;;;;;;,
godoftheseas;God of the Seas;;;;;;,
godoftheseas_desc;This character is the God of the Seas!;;;;;;,
nick_the_godoftheseas;the God of the Seas;;;;;;,
title_godoftheseas;God of the Seas;;;;;;,
title_godoftheseas_desc;Make this character the God of the Seas!;;;;;;,
godoffestivals;God of Festivals;;;;;;,
godoffestivals_desc;This character is the God of Festivals!;;;;;;,
nick_the_godoffestivals;the God of Festivals;;;;;;,
title_godoffestivals;God of Festivals;;;;;;,
title_godoffestivals_desc;Make this character the God of Festivals!;;;;;;,
godofdarkness;God of Darkness;;;;;;,
godofdarkness_desc;This character is the God of Darkness!;;;;;;,
nick_the_godofdarkness;the God of Darkness;;;;;;,
title_godofdarkness;God of Darkness;;;;;;,
title_godofdarkness_desc;Make this character the God of Darkness!;;;;;;,
godofwar;God of War;;;;;;,
godofwar_desc;This character is the God of War!;;;;;;,
nick_the_godofwar;the God of War;;;;;;,
title_godofwar;God of War;;;;;;,
title_godofwar_desc;Make this character the God of War!;;;;;;,
godofgreed;God of Greed;;;;;;,
godofgreed_desc;This character is the God of Greed!;;;;;;,
nick_the_godofgreed;the God of Greed;;;;;;,
title_godofgreed;God of Greed;;;;;;,
title_godofgreed_desc;Make this character the God of Greed!;;;;;;,
godofthedead;God of the Dead;;;;;;,
godofthedead_desc;This character is the God of the Dead!;;;;;;,
nick_the_godofthedead;the God of the Dead;;;;;;,
title_godofthedead;God of the Dead;;;;;;,
title_godofthedead_desc;Make this character the God of the Dead!;;;;;;,
godofdarkknowledge;God of Dark Knowledge;;;;;;,
godofdarkknowledge_desc;This character is the God of Dark Knowledge!;;;;;;,
nick_the_godofdarkknowledge;the God of Dark Knowledge;;;;;;,
title_godofdarkknowledge;God of Dark Knowledge;;;;;;,
title_godofdarkknowledge_desc;Make this character the God of Dark Knowledge!;;;;;;,
godofadultery;God of Adultery;;;;;;,
godofadultery_desc;This character is the God of Adultery!;;;;;;,
nick_the_godofadultery;the God of Adultery;;;;;;,
title_godofadultery;God of Adultery;;;;;;,
title_godofadultery_desc;Make this character the God of Adultery!;;;;;;,
godofearthquakes;God of Earthquakes;;;;;;,
godofearthquakes_desc;This character is the God of Earthquakes!;;;;;;,
nick_the_godofearthquakes;the God of Earthquakes;;;;;;,
