#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;,,,,
God_group;Gods;;;;;;,,,,
God_group_desc;The Divine.;;;;;;,,,,
God;God;;;;;;,,,,
God_desc;This Character is a God!;;;;;;,,,,
Goddess;Goddess;;;;;;,,,,
Goddess_desc;This Character is a Goddess!;;;;;;,,,,
Fallen_God;Evil God;;;;;;,,,,
Fallen_God_desc;This Character, disgracing his fellow Gods, has fallen and become an Evil God.;;;;;;,,
Fallen_Goddess;Evil Goddess;;;;;;,,,,
Fallen_Goddess_desc;This Character, disgracing her fellow Gods, has fallen and become an Evil Goddess.;;;;;;,,
Demi_God;Demi God;;;;;;,,,,
Demi_God_desc;This character is half god and half human or angel, making him a true Demi God!;;;;;;,,,
Demi_Goddess;Demi Goddess;;;;;;,,,,
Demi_Goddess_desc;This character is half god and half human or angel, making her a true Demi Goddess!;;;;;;,,,
Young_Baby;Baby;;;;;;,,,,
Young_Baby_desc;A Godly Baby;;;;;;,,,,
Young_Evil_Baby;Baby;;;;;;,,,,
Young_Evil_Baby_desc;A Evil God Baby;;;;;;,,,,
Young_Demi_Baby;Baby;;;;;;,,,,
Young_Demi_Baby_desc;A Demi God Baby;;;;;;,,,,
High_God;High God;;;;;;,,,,
High_God_desc;The Culture of the Gods.;;;;;;,,,,
PIETY_GOD;Light;;;;;;,,,,
god_group;War of the Gods;;;;;;,,,,
Arch_Angel;Arch Angel;;;;;;,,,,
god_text;The Light;;;;;;,,,,
the_light;Good;;;;;;,,,,
god_crusade;War of the Gods;;;;;;,,,,
the_darkness;Evil;;;;;;,,,,
evilgod_text;The Darkness;;;;;;,,,,
PIETY_EVILGOD;Darkness;;;;;;,,,,
the_light_DESC;Followers of the light and all that is Good in the Universe.;;;;;;,,,,
the_darkness_DESC;Followers of the Darkness and all that is Evil in the Universe.;;;;;;,,,,
STAT_PIETY_PIETY_GOD;Light;;;;;;,,,,
STAT_PIETY_PIETY_EVILGOD;Darkness;;;;;;,,,,
MONTHLY_PIETY_PIETY_EVILGOD;Test;;;;;;,,,,
STAT_PIETY_DESC_PIETY_GOD;Concentrated Light;;;;;;,,,,
STAT_PIETY_DESC_PIETY_EVILGOD;Pure Darkness;;;;;;,,,,
MONTHLY_PIETY_PIETY_GOD;Test;;;;;;,,,,
e_thegods;The Gods;;;;;;,,,,
e_thegods_adj;Good;;;;;;,,,,
e_evilgods;The Evil Gods;;;;;;,,,,
e_evilgods_adj;Evil;;;;;;,,,,
k_angel;The Angels;;;;;;,,,,
k_angel_adj;Angelic;;;;;;,,,,
k_fallen_angels;The Dark Angels;;;;;;,,,,
k_fallen_angels_adj;Dark Angelic;;;;;;,,,,
god_kingdom;Create The Kingdom of the Gods!;;;;;;,,,,
god_kingdom_desc;The time has come for the Gods to rule on earth, Start your divine path!;;;;;;,,,
evilgod_kingdom;Create The Evil Kingdom of the Gods!;;;;;;,,,,
evilgod_kingdom_desc;The time has come for the Evil Gods to rule on earth, Start your dark path!;;;;;;,,,
god_queendom;Create The Queendom of the Gods!;;;;;;,,,,
god_queendom_desc;The time has come for the Gods to rule on earth, Start your divine path!;;;;;;,,,
evilgod_queendom;Create The Evil Queendom of the Gods!;;;;;;,,,,
evilgod_queendom_desc;The time has come for the Evil Gods to rule on earth, Start your dark path!;;;;;;,,,
Young_God;Young God;;;;;;,,,,
Young_God_desc;This is a young and reckless God, powerful but not quite matured.;;;;;;,,,
Young_Goddess;Young Goddess;;;;;;,,,,
Young_Goddess_desc;This is a young and reckless Goddess, powerful but not quite matured.;;;;;;,,,
Young_Fallen_God;Young Evil God;;;;;;,,,,
Young_Fallen_God_desc;This is a young and evil God, powerful but not quite matured.;;;;;;,,,
Young_Fallen_Goddess;Young Evil Goddess;;;;;;,,,,
Young_Fallen_Goddess_desc;This is a young and evil Goddess, powerful but not quite matured.;;;;;;,,,
Young_Demi_God;Young Demi God;;;;;;,,,,
Young_Demi_God_desc;This is a young half god, half human or angel.;;;;;;,,,
Young_Demi_Goddess;Young Demi Goddess;;;;;;,,,,
Young_Demi_Goddess_desc;This is a young half god, half human or angel.;;;;;;,,,
Angel;Angel;;;;;;,,,,
Angel_desc;This character is a divine Angel, created by the Gods!;;;;;;,,,
Dark_Angel;Dark Angel;;;;;;,,,,
Dark_Angel_desc;This character is a Fallen Angel, created and scorned by the Gods.;;;;;;,,,
Archangel;Archangel;;;;;;,,,,
Archangel_desc;This is a high ranking Angel, devoted solely to the Gods!;;;;;;,,,
Dark_Archangel;Dark Archangel;;;;;;,,,,
Dark_Archangel_desc;This is a high ranking Dark Angel, devoted solely to the Evil Gods!;;;;;;,,,
God_Blood;Blood of the Gods;;;;;;,,,,
God_Blood_desc;This Character is a mortal descendant of a Demi God and the Gods themselves!;;;;;;,,,,
Angel_Blood;Blood of an Angel;;;;;;,,,,
Angel_Blood_desc;This Character is a mortal descendant of an Angel!;;;;;;,,,,
EVTNAMEthegods.2;A True God!;;;;;;,,,,
EVTDESCthegods.2;As you have fought and toiled amongst your fellow immortals and mortals, you feel the light flow through you like never before. You are a God now. What will you do with your new found power....;;;;;;,,,
EVTOPTAthegods.2;I AM A GOD;;;;;;,,,,
EVTNAMEthegods.3;A True Evil God!;;;;;;,,,,
EVTDESCthegods.3;As you have fought and toiled amongst your fellow immortals and mortals, you feel the darkness flow through you like never before. You are an Evil God now. What will you do with your new found power....;;;;;;,,,
EVTOPTAthegods.3;I AM AN EVIL GOD;;;;;;,,,,
EVTNAMEthegods.4;A True Demi God!;;;;;;,,,,
EVTDESCthegods.4;You are now grown and you feel the blood of your God Parent flowing through you. You are a Demi God now. What will you do with your new found power....;;;;;;,,,,
EVTOPTAthegods.4;I AM A DEMI GOD;;;;;;,,,,
EVTNAMEthegods.5;Immortality has its benefits!;;;;;;,,,,
EVTDESCthegods.5;You begin to feel a surge of immortal health and divine healing flow through your body;;;;;;,,,,
EVTOPTAthegods.5;I AM HEALED;;;;;;,,,,
EVTNAMEthegods.6;Immortality has its benefits!;;;;;;,,,,
EVTDESCthegods.6;You begin to feel a surge of immortal health and divine healing flow through your body;;;;;;,,,,
EVTOPTAthegods.6;I AM HEALED;;;;;;,,,,
EVTNAMEthegods.7;Immortality has its benefits!;;;;;;,,,,
EVTDESCthegods.7;You begin to feel a surge of immortal health and divine healing flow through your body;;;;;;,,,,
EVTOPTAthegods.7;I AM HEALED;;;;;;,,,,
EVTNAMEthegods.8;Immortality has its benefits!;;;;;;,,,,
EVTDESCthegods.8;You begin to feel a surge of immortal health and divine healing flow through your body;;;;;;,,,,
EVTOPTAthegods.8;I AM HEALED;;;;;;,,,,
Divine_Leader;Divine Leader;;;;;;,,,,
Divine_Leader_desc;This is a Divine and Godly leader, stronger than mere mortal men.;;;;;;,,,
Divine_Diplomat;Divine Diplomat;;;;;;,,,,
Divine_Diplomat_desc;This character has been divined by the Gods as a true Diplomat.;;;;;;,,,,
Divine_Warrior;Divine Warrior;;;;;;,,,,
Divine_Warrior_desc;This character has been divined by the Gods as one of the strongest Warriors.;;;;;;,,,,
Divine_Steward;Divine Steward;;;;;;,,,,
Divine_Steward_desc;This character has been divined by the Gods as a true Steward.;;;;;;,,,,
Divine_Assassin;Divine Assassin;;;;;;,,,,
Divine_Assassin_desc;This character has been divined by the Gods as a true Assassin.;;;;;;,,,,
Divine_Theologian;Divine Theologian;;;;;;,,,,
Divine_Theologian_desc;This character has been divined by the Gods as a true Theologian.;;;;;;,,,,
Create_Angel;Create Angel;;;;;;,,,,
Create_Angel_desc;Fusing Light with Life you have the ability to create Angels when you wish!;;;;;;,,,,
Create_Dark_Angel;Create Dark Angel;;;;;;,,,,
Create_Dark_Angel_desc;Fusing Darkness with Life you have the ability to create Dark Angels when you wish!;;;;;;,,,,
Create_Goddess;Create Goddess;;;;;;,,,,
Create_Goddess_desc;Create a beautiful Goddess.;;;;;;,,,,
Create_Fallen_Goddess;Create Evil Goddess;;;;;;,,,,
Create_Fallen_Goddess_desc;Create a beautiful and Evil Goddess;;;;;;,,,,
Create_God;Create a God;;;;;;,,,,
Create_God_desc;Create a strong God husband.;;;;;;,,,,
Create_Fallen_God;Create an Evil God;;;;;;,,,,
Create_Fallen_God_desc;Create a strong Evil God husband.;;;;;;,,,,
ca_culture_High_God_1;Small Light Source;;;;;;,,,,
ca_culture_High_God_1_desc;From this source of light are born Angels and Riches, mere mortals cannot survive in such pure light.;;;;;;,,,
ca_culture_High_God_2;Medium Light Source;;;;;;,,,,
ca_culture_High_God_3;Large Light Source;;;;;;,,,,
ca_culture_High_God_4;Infinite Light Source;;;;;;,,,,
angels;Angels;;;;;;,,,,
angels_desc;Divine Warriors;;;;;;,,,,
angels_offensive;Angels Offensive;;;;;;,,,,
angels_defensive;Angels Defensive;;;;;;,,,,
angels_morale;Angels Morale;;;;;;,,,,
youkai;Youkai;;;;;;,,,,
youkai_desc;Youkai;;;;;;,,,,
youkai_offensive;Youkai Offensive;;;;;;,,,,
youkai_defensive;Youkai Defensive;;;;;;,,,,
youkai_morale;Youkai Morale;;;;;;,,,,
dark_angels;Dark Angels;;;;;;,,,,
dark_angels_desc;Divine Warriors;;;;;;,,,,
dark_angels_offensive;Dark Angels Offensive;;;;;;,,,,
dark_angels_defensive;Dark Angels Defensive;;;;;;,,,,
dark_angels_morale;Dark Angels Morale;;;;;;,,,,
RETTYPE_ANGELSA;Small Angel Regiment;;;;;;,,,,
RETTYPE_ANGELSB;Angel Regiment;;;;;;,,,,
RETTYPE_ANGELSC;Angel Legion;;;;;;,,,,
RETTYPE_DARKANGELSA;Small Dark Angel Regiment;;;;;;,,,,
RETTYPE_DARKANGELSB;Dark Angel Regiment;;;;;;,,,,
RETTYPE_DARKANGELSC;Dark Angel Legion;;;;;;,,,,
ca_culture_Evil_God_1;Small Darkness Vacuum;;;;;;,,,,
ca_culture_Evil_God_1_desc;From this source of pure darkness are born Dark Angels and Riches, mere mortals cannot survive in such pure evil.;;;;;;,,,
ca_culture_Evil_God_2;Medium Darkness Vacuum;;;;;;,,,,
ca_culture_Evil_God_3;Large Darkness Vacuum;;;;;;,,,,
ca_culture_Evil_God_4;Infinite Darkness Vacuum;;;;;;,,,,
divine_conception;Divine Conception;;;;;;,,,,
divine_conception_desc;Your will is law, Divinely impregnate this woman to create a Demi God!;;;;;;,,,
divine_seduction;Divine Seduction;;;;;;,,,,
divine_seduction_desc;Your beauty is irresistible, Divinely seduce this man to create a Demi God of your own!;;;;;;,,,
banish_god;Banish God;;;;;;,,,,
EVTNAMEthegods.10;Turned your back!;;;;;;,,,,
EVTDESCthegods.10;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.10;I AM AN EVIL YOUNG GOD;;;;;;,,,,
EVTNAMEthegods.11;Turned your back!;;;;;;,,,,
EVTDESCthegods.11;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.11;I AM AN EVIL GOD;;;;;;,,,,
EVTNAMEthegods.12;Turned your back!;;;;;;,,,,
EVTDESCthegods.12;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.12;I AM A YOUNG GOD OF LIGHT;;;;;;,,,,
EVTNAMEthegods.13;Turned your back!;;;;;;,,,,
EVTDESCthegods.13;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.13;I AM A GOD OF LIGHT;;;;;;,,,,
EVTNAMEthegods.17;Turned your back!;;;;;;,,,,
EVTDESCthegods.17;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.17;I AM A TRUE EVIL YOUNG GOD;;;;;;,,,,
EVTNAMEthegods.18;Turned your back!;;;;;;,,,,
EVTDESCthegods.18;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.18;I AM A TRUE EVIL YOUNG GOD;;;;;;,,,,
EVTNAMEthegods.19;Turned your back!;;;;;;,,,,
EVTDESCthegods.19;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.19;I AM A TRUE EVIL GOD;;;;;;,,,,
EVTNAMEthegods.20;Turned your back!;;;;;;,,,,
EVTDESCthegods.20;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.20;I AM A TRUE EVIL GOD;;;;;;,,,,
EVTNAMEthegods.21;Turned your back!;;;;;;,,,,
EVTDESCthegods.21;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.21;I AM A TRUE YOUNG GOD OF LIGHT;;;;;;,,,,
EVTNAMEthegods.22;Turned your back!;;;;;;,,,,
EVTDESCthegods.22;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.22;I AM A TRUE YOUNG GOD OF LIGHT;;;;;;,,,,
EVTNAMEthegods.23;Turned your back!;;;;;;,,,,
EVTDESCthegods.23;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.23;I AM A TRUE GOD OF LIGHT;;;;;;,,,,
EVTNAMEthegods.24;Turned your back!;;;;;;,,,,
EVTDESCthegods.24;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.24;I AM A TRUE GOD OF LIGHT;;;;;;,,,,
EVTNAMEthegods.25;Promotion!;;;;;;,,,,
EVTDESCthegods.25;You have gathered an immense amount of light and the divine has promoted you.;;;;;;,,,,
EVTOPTAthegods.25;I AM AN Archangel;;;;;;,,,,
EVTNAMEthegods.26;Promotion!;;;;;;,,,,
EVTDESCthegods.26;You have gathered an immense amount of darkness and the divine has promoted you.;;;;;;,,,,
EVTOPTAthegods.26;I AM A DARK Archangel;;;;;;,,,,
EVTNAMEthegods.27;Turned your back!;;;;;;,,,,
EVTDESCthegods.27;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.27;I AM AN ANGEL OF LIGHT;;;;;;,,,,
EVTNAMEthegods.28;Turned your back!;;;;;;,,,,
EVTDESCthegods.28;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.28;I AM AN Archangel OF LIGHT;;;;;;,,,,
EVTNAMEthegods.29;Turned your back!;;;;;;,,,,
EVTDESCthegods.29;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.29;I AM AN ANGEL OF DARKNESS;;;;;;,,,,
EVTNAMEthegods.30;Turned your back!;;;;;;,,,,
EVTDESCthegods.30;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.30;I AM AN Archangel OF DARKNESS;;;;;;,,,,
EVTNAMEthegods.31;Proper Education!;;;;;;,,,,
EVTDESCthegods.31;Your Divine Blood has properly educated you!;;;;;;,,,,
EVTOPTAthegods.31;I AM A DIVINE ASSASSIN;;;;;;,,,,
EVTNAMEthegods.32;Proper Education!;;;;;;,,,,
EVTDESCthegods.32;Your Divine Blood has properly educated you!;;;;;;,,,,
EVTOPTAthegods.32;I AM A DIVINE DIPLOMAT;;;;;;,,,,
EVTNAMEthegods.33;Proper Education!;;;;;;,,,,
EVTDESCthegods.33;Your Divine Blood has properly educated you!;;;;;;,,,,
EVTOPTAthegods.33;I AM A DIVINE STEWARD;;;;;;,,,,
EVTNAMEthegods.34;Proper Education!;;;;;;,,,,
EVTDESCthegods.34;Your Divine Blood has properly educated you!;;;;;;,,,,
EVTOPTAthegods.34;I AM A DIVINE WARRIOR;;;;;;,,,,
EVTNAMEthegods.35;Proper Education!;;;;;;,,,,
EVTDESCthegods.35;Your Divine Blood has properly educated you!;;;;;;,,,,
EVTOPTAthegods.35;I AM A DIVINE THEOLOGIAN;;;;;;,,,,
EVTNAMEthegods.36;Wrong Education!;;;;;;,,,,
EVTDESCthegods.36;It seems the Gods have not divined you to have such an education anymore.;;;;;;,,,,
EVTOPTAthegods.36;I HAVE LOST MY DIVINITY;;;;;;,,,,
god_duel;God Duel;;;;;;,,,,
smite;Smite;;;;;;,,,,
smite_desc;Smite [Root.GetFullName] with divine fury, killing [Root.GetHerHim] instantly.;;;;;; ,,,
bless;Bless;;;;;;,,,,
bless_desc;Bless [Root.GetFullName] with the power of the Gods.;;;;;;,,,,
curse;Curse;;;;;;,,,,
curse_desc;Curse [Root.GetFullName] with the might of your divine displeasure.;;;;;;,,,,
apotheosis;Apotheosis;;;;;;,,,,
apotheosis_desc;Elevate [Root.GetFullName] to full Godhood.;;;;;;,,,,
divine_healing;Divine Healing;;;;;;,,,,
divine_healing_desc;Channel your divine power to restore [Root.GetFullName], curing [Root.GetHerHim] of illness and physical injury.  But even the power of a God cannot repair a damaged mind...;;;;;;,,,,
EVTDESCthegodsbless.1;You reach out with your divine might, and infuse some of your power into [From.GetFullName].;;;;;;,,,,
EVTOPTAthegodsbless.1;I shall make [From.GetHerHim] a great warrior.;;;;;;,,,,
EVTOPTBthegodsbless.1;[From.GetSheHeCap] shall be wiser than other men.;;;;;;,,,,
EVTOPTCthegodsbless.1;No one will be able to resist [From.GetHerHis] beauty.;;;;;;,,,,
EVTOPTDthegodsbless.1;May [From.GetSheHe] have a long life.;;;;;;,,,,
EVTOPTEthegodsbless.1;[From.GetSheHeCap] shall live forever.;;;;;;,,,,
EVTOPTFthegodsbless.1;Leave your mortality behind, [From.GetFirstName]!;;;;;;,,,,
EVTOPTGthegodsbless.1;Never mind, I've done enough.;;;;;;,,,,
EVTDESCthegodsbless.2;You reach out with your divine might, and level a terrible curse on [From.GetFullName].;;;;;;,,,,
EVTOPTAthegodsbless.2;I shall atrophy [From.GetHerHis] muscles and make [From.GetHerHim] a weakling!;;;;;;,,,,
EVTOPTBthegodsbless.2;[From.GetSheHeCap] shall be dumb as a skunk!;;;;;;,,,,
EVTOPTCthegodsbless.2;How about a face not even a mother could love?;;;;;;,,,,
EVTOPTDthegodsbless.2;I'll just make his balls fall off.;;;;;;,,,,
visitation;Divine Visitation;;;;;;,,,,
visitation_desc;Visit [Root.GetFullName] with your divine presence, making [Root.GetHerHim] into a faithful follower!;;;;;;,,,,
EVTDESCthegodsbless.3;You come to [From.GetFullName] in [From.GetHerHis] dreams, showing [From.GetHerHim] visions of your divine glory.  [From.GetSheHeCap] awakens filled with fervor for your cause!;;;;;;,,,,
EVTOPTAthegodsbless.3;Let my awesome Light flow through you!;;;;;;,,,,
EVTOPTBthegodsbless.3;Let my awesome Darkness flow through you!;;;;;;,,,,
god_duel_desc;Duel of the Gods!;;;;;;,,,,
kingofthegods;King of the Gods;;;;;;,,,,
kingofthegods_desc;This Character is the King of the Gods!;;;;;;,,,,
queenofthegods;Queen of the Gods;;;;;;,,,,
queenofthegods_desc;This Character is the Queen of the Gods!;;;;;;,,,,
evilking;King of the Evil Gods;;;;;;,,,,
evilking_desc;This Character is the King of the Evil Gods!;;;;;;,,,,
evilqueen;Queen of the Evil Gods;;;;;;,,,,
evilqueen_desc;This Character is the Queen of the Evil Gods!;;;;;;,,,,
EVTNAMEthegods.99;Culture Shift!;;;;;;,,,,
EVTDESCthegods.99;Your light has shown bright! The mortals are beginning to model themselves after you.;;;;;;,,,,
EVTOPTAthegods.99;MY DIVINE LIGHT IS SPREADING;;;;;;,,,,
EVTNAMEthegods.100;Culture Shift!;;;;;;,,,,
EVTDESCthegods.100;Your darkness has consumed the land! The mortals are beginning to model themselves after you.;;;;;;,,,,
EVTOPTAthegods.100;MY DIVINE DARKNESS IS SPREADING;;;;;;,,,,
EVTNAMEthegods.101;A True Goddess!;;;;;;,,,,
EVTDESCthegods.101;As you have fought and toiled amongst your fellow immortals and mortals, you feel the light flow through you like never before. You are a Goddess now. What will you do with your new found power.;;;;;;,,,
EVTOPTAthegods.101;I AM A GODDESS;;;;;;,,,,
EVTNAMEthegods.102;A True Evil Goddess!;;;;;;,,,,
EVTDESCthegods.102;As you have fought and toiled amongst your fellow immortals and mortals, you feel the darkness flow through you like never before. You are an Evil Goddess now. What will you do with your new found power.;;;;;;,,,
EVTOPTAthegods.102;I AM AN EVIL GODDESS;;;;;;,,,,
EVTNAMEthegods.103;A True Demi Goddess!;;;;;;,,,,
EVTDESCthegods.103;You are now grown and you feel the blood of your God Parent flowing through you. You are a Demi Goddess now. What will you do with your new found power.;;;;;;,,,,
EVTOPTAthegods.103;I AM A DEMI GODDESS;;;;;;,,,,
EVTNAMEthegods.104;Baby!;;;;;;,,,,
EVTDESCthegods.104;I am no longer a divine baby.;;;;;;,,,,
EVTOPTAthegods.104;I AM A GOD CHILD;;;;;;,,,,
EVTNAMEthegods.105;Baby!;;;;;;,,,,
EVTDESCthegods.105;I am no longer a divine baby.;;;;;;,,,,
EVTOPTAthegods.105;I AM A EVIL GOD CHILD;;;;;;,,,,
EVTNAMEthegods.106;Baby!;;;;;;,,,,
EVTDESCthegods.106;I am no longer a divine baby.;;;;;;,,,,
EVTOPTAthegods.106;I AM A DEMI GOD CHILD;;;;;;,,,,
EVTNAMEthegods.107;Oops!;;;;;;,,,,
EVTDESCthegods.107;I am not the right Gender.;;;;;;,,,,
EVTOPTAthegods.107;Set me Right;;;;;;,,,,
EVTDESCthegods.150;Your light has shown bright! The mortals are beginning to model themselves after you.;;;;;;,,,,
EVTOPTAthegods.150;It is only right that they should imitate me so.;;;;;;,,,,
EVTNAMEbecomeagod.1;The Beginning;;;;;;,,,,
EVTDESCbecomeagod.1;You had quite a weird dream last night. You envisioned two powerful foes fighting in deep skies, both light and darkness. The feeling felt so real to you, as if you were meant to partake.. surely this feeling of destiny is just the affects of an over active brain.;;;;;;,,
EVTOPTAbecomeagod.1;I had a weird dream.;;;;;;,,,,
haddream;Had a weird dream;;;;;;,,,,
haddream_desc;This character had a weird dream that is eating them up inside.;;;;;;,,,,
EVTNAMEbecomeagod.2;The Seer;;;;;;,,,,
EVTDESCbecomeagod.2;A mysterious old man makes his way into your court, he asks for hospitality. Normally you would say no, but there is something magnetic about this man. You invite him to dinner, during the feast he grabs your arm and looks you strait in the eyes. He knows about the dream you had, he knows your desire to know more about this war between light and dark. He offers to stay in your court.;;;;;;
EVTOPTAbecomeagod.2;He is welcome to stay for as long as he likes;;;;;;,,,,
EVTOPTAbecomeagod.102;Get out of my sight!;;;;;;,,,,
deniedseer;Denied Seer;;;;;;,,,,
deniedseer_desc;This Character has denied the Seer;;;;;;,,,,
hasmagicseer;Has a personal Seer;;;;;;,,,,
hasmagicseer_desc;This character has a personal Seer;;;;;;,,,,
magicseer;Magic Seer;;;;;;,,,,
magicseer_desc;This Character is a Seer;;;;;;,,,,
EVTNAMEbecomeagod.3;Become a student;;;;;;,,,,
EVTDESCbecomeagod.3;You and your Seer have been having dinner for quite some time now, he has interpreted your dream about light and dark and said you have a great destiny about you. He knows quite a bit about this subject surprisingly. He offers to teach you about either light or darkness.;;;;;;,,,
EVTOPTAbecomeagod.3;I choose to learn about Light;;;;;;,,,,
EVTOPTAbecomeagod.103;I choose to learn about Darkness;;;;;;,,,,
studentlight;Student of Light;;;;;;,,,,
