#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;,,,,
EVTNAMEthegods.2;A True God!;;;;;;,,,,
EVTDESCthegods.2;As you have fought and toiled amongst your fellow immortals and mortals, you feel the light flow through you like never before. You are a God now. What will you do with your new found power....;;;;;;,,,
EVTOPTAthegods.2;I AM A GOD;;;;;;,,,,
EVTNAMEthegods.3;A True Evil God!;;;;;;,,,,
EVTDESCthegods.3;As you have fought and toiled amongst your fellow immortals and mortals, you feel the darkness flow through you like never before. You are an Evil God now. What will you do with your new found power....;;;;;;,,,
EVTOPTAthegods.3;I AM AN EVIL GOD;;;;;;,,,,
EVTNAMEthegods.4;A True Demi God!;;;;;;,,,,
EVTDESCthegods.4;You are now grown and you feel the blood of your God Parent flowing through you. You are a Demi God now. What will you do with your new found power....;;;;;;,,,,
EVTOPTAthegods.4;I AM A DEMI GOD;;;;;;,,,,
EVTNAMEthegods.5;Immortality has its benefits!;;;;;;,,,,
EVTDESCthegods.5;You begin to feel a surge of immortal health and divine healing flow through your body;;;;;;,,,,
EVTOPTAthegods.5;I AM HEALED;;;;;;,,,,
EVTNAMEthegods.6;Immortality has its benefits!;;;;;;,,,,
EVTDESCthegods.6;You begin to feel a surge of immortal health and divine healing flow through your body;;;;;;,,,,
EVTOPTAthegods.6;I AM HEALED;;;;;;,,,,
EVTNAMEthegods.7;Immortality has its benefits!;;;;;;,,,,
EVTDESCthegods.7;You begin to feel a surge of immortal health and divine healing flow through your body;;;;;;,,,,
EVTOPTAthegods.7;I AM HEALED;;;;;;,,,,
EVTNAMEthegods.8;Immortality has its benefits!;;;;;;,,,,
EVTDESCthegods.8;You begin to feel a surge of immortal health and divine healing flow through your body;;;;;;,,,,
EVTOPTAthegods.8;I AM HEALED;;;;;;,,,,
EVTNAMEthegods.10;Turned your back!;;;;;;,,,,
EVTDESCthegods.10;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.10;I AM AN EVIL YOUNG GOD;;;;;;,,,,
EVTNAMEthegods.11;Turned your back!;;;;;;,,,,
EVTDESCthegods.11;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.11;I AM AN EVIL GOD;;;;;;,,,,
EVTNAMEthegods.12;Turned your back!;;;;;;,,,,
EVTDESCthegods.12;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.12;I AM A YOUNG GOD OF LIGHT;;;;;;,,,,
EVTNAMEthegods.13;Turned your back!;;;;;;,,,,
EVTDESCthegods.13;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.13;I AM A GOD OF LIGHT;;;;;;,,,,
EVTNAMEthegods.17;Turned your back!;;;;;;,,,,
EVTDESCthegods.17;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.17;I AM A TRUE EVIL YOUNG GOD;;;;;;,,,,
EVTNAMEthegods.18;Turned your back!;;;;;;,,,,
EVTDESCthegods.18;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.18;I AM A TRUE EVIL YOUNG GOD;;;;;;,,,,
EVTNAMEthegods.19;Turned your back!;;;;;;,,,,
EVTDESCthegods.19;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.19;I AM A TRUE EVIL GOD;;;;;;,,,,
EVTNAMEthegods.20;Turned your back!;;;;;;,,,,
EVTDESCthegods.20;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.20;I AM A TRUE EVIL GOD;;;;;;,,,,
EVTNAMEthegods.21;Turned your back!;;;;;;,,,,
EVTDESCthegods.21;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.21;I AM A TRUE YOUNG GOD OF LIGHT;;;;;;,,,,
EVTNAMEthegods.22;Turned your back!;;;;;;,,,,
EVTDESCthegods.22;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.22;I AM A TRUE YOUNG GOD OF LIGHT;;;;;;,,,,
EVTNAMEthegods.23;Turned your back!;;;;;;,,,,
EVTDESCthegods.23;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.23;I AM A TRUE GOD OF LIGHT;;;;;;,,,,
EVTNAMEthegods.24;Turned your back!;;;;;;,,,,
EVTDESCthegods.24;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.24;I AM A TRUE GOD OF LIGHT;;;;;;,,,,
EVTNAMEthegods.25;Promotion!;;;;;;,,,,
EVTDESCthegods.25;You have gathered an immense amount of light and the divine has promoted you.;;;;;;,,,,
EVTOPTAthegods.25;I AM AN Archangel;;;;;;,,,,
EVTNAMEthegods.26;Promotion!;;;;;;,,,,
EVTDESCthegods.26;You have gathered an immense amount of darkness and the divine has promoted you.;;;;;;,,,,
EVTOPTAthegods.26;I AM A DARK Archangel;;;;;;,,,,
EVTNAMEthegods.27;Turned your back!;;;;;;,,,,
EVTDESCthegods.27;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.27;I AM AN ANGEL OF LIGHT;;;;;;,,,,
EVTNAMEthegods.28;Turned your back!;;;;;;,,,,
EVTDESCthegods.28;You are beginning to look at the world differently, the darkness does not burn inside you as it once has.. you begin to let the light fulfill you.;;;;;;,,,
EVTOPTAthegods.28;I AM AN Archangel OF LIGHT;;;;;;,,,,
EVTNAMEthegods.29;Turned your back!;;;;;;,,,,
EVTDESCthegods.29;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.29;I AM AN ANGEL OF DARKNESS;;;;;;,,,,
EVTNAMEthegods.30;Turned your back!;;;;;;,,,,
EVTDESCthegods.30;You are beginning to look at the world differently, the light does not fulfill you as it once has.. you begin to let the darkness consume you.;;;;;;,,,
EVTOPTAthegods.30;I AM AN Archangel OF DARKNESS;;;;;;,,,,
EVTNAMEthegods.31;Proper Education!;;;;;;,,,,
EVTDESCthegods.31;Your Divine Blood has properly educated you!;;;;;;,,,,
EVTOPTAthegods.31;I AM A DIVINE ASSASSIN;;;;;;,,,,
EVTNAMEthegods.32;Proper Education!;;;;;;,,,,
EVTDESCthegods.32;Your Divine Blood has properly educated you!;;;;;;,,,,
EVTOPTAthegods.32;I AM A DIVINE DIPLOMAT;;;;;;,,,,
EVTNAMEthegods.33;Proper Education!;;;;;;,,,,
EVTDESCthegods.33;Your Divine Blood has properly educated you!;;;;;;,,,,
EVTOPTAthegods.33;I AM A DIVINE STEWARD;;;;;;,,,,
EVTNAMEthegods.34;Proper Education!;;;;;;,,,,
