#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;,,,,
EVTDESCgodsbless.1;You reach out with your divine might, and infuse some of your power into [From.GetFullName].;;;;;;,,,,
EVTOPTAgodsbless.1;I shall make [From.GetHerHim] a great warrior.;;;;;;,,,,
EVTOPTBgodsbless.1;[From.GetSheHeCap] shall be wiser than other men.;;;;;;,,,,
EVTOPTCgodsbless.1;No one will be able to resist [From.GetHerHis] beauty.;;;;;;,,,,
EVTOPTDgodsbless.1;May [From.GetSheHe] have a long life.;;;;;;,,,,
EVTOPTEgodsbless.1;[From.GetSheHeCap] shall live forever.;;;;;;,,,,
EVTOPTFgodsbless.1;Leave your mortality behind, [From.GetFirstName]!;;;;;;,,,,
EVTOPTGgodsbless.1;Never mind, I've done enough.;;;;;;,,,,
EVTDESCgodsbless.2;You reach out with your divine might, and level a terrible curse on [From.GetFullName].;;;;;;,,,,
EVTOPTAgodsbless.2;I shall atrophy [From.GetHerHis] muscles and make [From.GetHerHim] a weakling!;;;;;;,,,,
EVTOPTBgodsbless.2;[From.GetSheHeCap] shall be dumb as a skunk!;;;;;;,,,,
EVTOPTCgodsbless.2;How about a face not even a mother could love?;;;;;;,,,,
EVTOPTDgodsbless.2;I'll just make his balls fall off.;;;;;;,,,,
EVTDESCgodsbless.3;You come to [From.GetFullName] in [From.GetHerHis] dreams, showing [From.GetHerHim] visions of your divine glory.  [From.GetSheHeCap] awakens filled with fervor for your cause!;;;;;;,,,,
EVTOPTAgodsbless.3;Let my awesome Light flow through you!;;;;;;,,,,
EVTOPTBgodsbless.3;Let my awesome Darkness flow through you!;;;;;;,,,,
EVTNAMEgodsbec.1;The Beginning;;;;;;,,,,
EVTDESCgodsbec.1;You had quite a weird dream last night. You envisioned two powerful foes fighting in deep skies, both light and darkness. The feeling felt so real to you, as if you were meant to partake.. surely this feeling of destiny is just the affects of an over active brain.;;;;;;,,
EVTOPTAgodsbec.1;I had a weird dream.;;;;;;,,,,
EVTNAMEgodsbec.2;The Seer;;;;;;,,,,
EVTDESCgodsbec.2;A mysterious old man makes his way into your court, he asks for hospitality. Normally you would say no, but there is something magnetic about this man. You invite him to dinner, during the feast he grabs your arm and looks you strait in the eyes. He knows about the dream you had, he knows your desire to know more about this war between light and dark. He offers to stay in your court.;;;;;;
EVTOPTAgodsbec.2;He is welcome to stay for as long as he likes;;;;;;,,,,
EVTOPTBgodsbec.2;Get out of my sight!;;;;;;,,,,
EVTNAMEgodsbec.3;Become a student;;;;;;,,,,
EVTDESCgodsbec.3;You and your Seer have been having dinner for quite some time now, he has interpreted your dream about light and dark and said you have a great destiny about you. He knows quite a bit about this subject surprisingly. He offers to teach you about either light or darkness.;;;;;;,,,
EVTOPTAgodsbec.3;I choose to learn about Light;;;;;;,,,,
EVTOPTBgodsbec.3;I choose to learn about Darkness;;;;;;,,,,
EVTNAMEgodsbec.4;Training;;;;;;,,,,
EVTDESCgodsbec.4;The Seer begins to give you lessons regarding light, informing you of its ultimate powers if used properly. Your first biggest lesson to achieving ultimate power through light... kindness.;;;;;;,,,
EVTOPTAgodsbec.4;I must work on my kindness;;;;;;,,,,
