#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;,,,,
e_thegods;The Gods;;;;;;,,,,
e_thegods_adj;Good;;;;;;,,,,
e_evilgods;The Evil Gods;;;;;;,,,,
e_evilgods_adj;Evil;;;;;;,,,,
k_angel;The Angels;;;;;;,,,,
k_angel_adj;Angelic;;;;;;,,,,
k_fallen_angels;The Dark Angels;;;;;;,,,,
k_fallen_angels_adj;Dark Angelic;;;;;;,,,,
d_gofl;Guardians of Light;;;;;;,,,,
d_gofd;Guardians of Darkness;;;;;;,,,,
d_al;Angelic Host;;;;;;,,,,
d_dal;Dark Angelic Host;;;;;;,,,,
d_sol;Swords of Light;;;;;;,,,,
d_sod;Swords of Darkness;;;;;;,,,,
d_gofl_adj;Light Guardian;;;;;;,,,,
d_gofd_adj;Dark Guardian;;;;;;,,,,
d_al_adj;Angelic;;;;;;,,,,
d_dal_adj;Dark Angelic;;;;;;,,,,
d_sol_adj;Light Sword;;;;;;,,,,
d_sod_adj;Dark Sword;;;;;;,,,,
