#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;,,,,
nick_the_godoflight;the God of Light;;;;;;,
nick_the_godofstrategy;the God of Strategy;;;;;;,
nick_the_godoffortune;the God of Fortune;;;;;;,
nick_the_godofsecrecy;the God of Secrecy;;;;;;,
nick_the_godofknowledge;the God of Knowledge;;;;;;,
nick_the_godoffertility;the God of Fertility;;;;;;,
nick_the_godoftheseas;the God of the Seas;;;;;;,
nick_the_godoffestivals;the God of Festivals;;;;;;,
nick_the_godofdarkness;the God of Darkness;;;;;;,
nick_the_godofwar;the God of War;;;;;;,
nick_the_godofgreed;the God of Greed;;;;;;,
nick_the_godofthedead;the God of the Dead;;;;;;,
nick_the_godofdarkknowledge;the God of Dark Knowledge;;;;;;,
nick_the_godofadultery;the God of Adultery;;;;;;,
nick_the_godofearthquakes;the God of Earthquakes;;;;;;,
nick_the_godofchaos;the God of Chaos;;;;;;,
nick_the_goddessofthesun;the Goddess of the Sun;;;;;;,
nick_the_goddessofprotection;the Goddess of Protection;;;;;;,
nick_the_goddessofharvest;the Goddess of Harvest;;;;;;,
nick_the_goddessofsilence;the Goddess of Silence;;;;;;,
nick_the_goddessofwisdom;the Goddess of Wisdom;;;;;;,
nick_the_goddessoflove;the Goddess of Love;;;;;;,
nick_the_goddessofrain;the Goddess of Rain;;;;;;,
nick_the_goddessofwine;the Goddess of Wine;;;;;;,
nick_the_goddessofthemoon;the Goddess of the Moon;;;;;;,
nick_the_goddessofdestruction;the Goddess of Destruction;;;;;;,
nick_the_goddessofdecadence;the Goddess of Decadence;;;;;;,
nick_the_goddessofmurder;the Goddess of Murder;;;;;;,
nick_the_goddessofmanipulation;the Goddess of Manipulation;;;;;;,
nick_the_goddessoflust;the Goddess of Lust;;;;;;,
nick_the_goddessoffire;the Goddess of Fire;;;;;;,
nick_the_goddessofhunting;the Goddess of Hunting;;;;;;,
nick_the_kingofthegods;King of the Gods;;;;;;,
nick_the_queenofthegods;Queen of the Gods;;;;;;,
nick_the_evilking;King of the Evil Gods;;;;;;,
nick_the_evilqueen;Queen of the Evil Gods;;;;;;,
