#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;,,,,
RETTYPE_ANGELSA;Small Angel Regiment;;;;;;,,,,
RETTYPE_ANGELSB;Angel Regiment;;;;;;,,,,
RETTYPE_ANGELSC;Angel Legion;;;;;;,,,,
RETTYPE_DARKANGELSA;Small Dark Angel Regiment;;;;;;,,,,
RETTYPE_DARKANGELSB;Dark Angel Regiment;;;;;;,,,,
RETTYPE_DARKANGELSC;Dark Angel Legion;;;;;;,,,,
RETTYPE_JOTNARA;Jutnar Raiding Party;;;;;;,
RETTYPE_JOTNARB;Small Jutnar Regiment;;;;;;,
RETTYPE_JOTNARC;Medium Jutnar Regiment;;;;;;,
RETTYPE_YOUKAIA;Youkai Raiding Party;;;;;;,
RETTYPE_YOUKAIB;Small Youkai Regiment;;;;;;,
RETTYPE_YOUKAIC;Medium Youkai Regiment;;;;;;,
RETTYPE_JOTNARD;Jï¿½tnar Legion;;;;;;,
RETTYPE_TITANA;Titan Raiding Party;;;;;;,
RETTYPE_TITANB;Small Titan Regiment;;;;;;,
RETTYPE_TITANC;Medium Titan Regiment;;;;;;,
RETTYPE_TITAND;Titan Legion;;;;;;,
