#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;,,,,
God_group;Gods;;;;;;,,,,
God_group_desc;The Divine.;;;;;;,,,,
god;God;;;;;;,,,,
god_desc;This Character is a God!;;;;;;,,,,
goddess;Goddess;;;;;;,,,,
goddess_desc;This Character is a Goddess!;;;;;;,,,,
fallen_god;Evil God;;;;;;,,,,
fallen_god_desc;This Character, disgracing his fellow Gods, has fallen and become an Evil God.;;;;;;,,
fallen_goddess;Evil Goddess;;;;;;,,,,
fallen_goddess_desc;This Character, disgracing her fellow Gods, has fallen and become an Evil Goddess.;;;;;;,,
demi_god;Demi God;;;;;;,,,,
demi_god_desc;This character is half god and half human or angel, making him a true Demi God!;;;;;;,,,
demi_goddess;Demi Goddess;;;;;;,,,,
demi_goddess_desc;This character is half god and half human or angel, making her a true Demi Goddess!;;;;;;,,,
young_baby;Baby;;;;;;,,,,
young_baby_desc;A Godly Baby;;;;;;,,,,
young_evil_baby;Baby;;;;;;,,,,
young_evil_baby_desc;A Evil God Baby;;;;;;,,,,
young_demi_baby;Baby;;;;;;,,,,
young_demi_baby_desc;A Demi God Baby;;;;;;,,,,
young_god;Young God;;;;;;,,,,
young_god_desc;This is a young and reckless God, powerful but not quite matured.;;;;;;,,,
young_goddess;Young Goddess;;;;;;,,,,
young_goddess_desc;This is a young and reckless Goddess, powerful but not quite matured.;;;;;;,,,
young_fallen_god;Young Evil God;;;;;;,,,,
young_fallen_god_desc;This is a young and evil God, powerful but not quite matured.;;;;;;,,,
young_fallen_goddess;Young Evil Goddess;;;;;;,,,,
young_fallen_goddess_desc;This is a young and evil Goddess, powerful but not quite matured.;;;;;;,,,
young_demi_god;Young Demi God;;;;;;,,,,
young_demi_god_desc;This is a young half god, half human or angel.;;;;;;,,,
young_demi_goddess;Young Demi Goddess;;;;;;,,,,
young_demi_goddess_desc;This is a young half god, half human or angel.;;;;;;,,,
angel;Angel;;;;;;,,,,
angel_desc;This character is a divine Angel, created by the Gods!;;;;;;,,,
dark_angel;Dark Angel;;;;;;,,,,
dark_angel_desc;This character is a Fallen Angel, created and scorned by the Gods.;;;;;;,,,
archangel;Archangel;;;;;;,,,,
archangel_desc;This is a high ranking Angel, devoted solely to the Gods!;;;;;;,,,
dark_archangel;Dark Archangel;;;;;;,,,,
dark_archangel_desc;This is a high ranking Dark Angel, devoted solely to the Evil Gods!;;;;;;,,,
god_blood;Blood of the Gods;;;;;;,,,,
god_blood_desc;This Character is a mortal descendant of a Demi God and the Gods themselves!;;;;;;,,,,
angel_blood;Blood of an Angel;;;;;;,,,,
angel_blood_desc;This Character is a mortal descendant of an Angel!;;;;;;,,,,
divine_leader;Divine Leader;;;;;;,,,,
divine_leader_desc;This is a Divine and Godly leader, stronger than mere mortal men.;;;;;;,,,
divine_diplomat;Divine Diplomat;;;;;;,,,,
divine_diplomat_desc;This character has been divined by the Gods as a true Diplomat.;;;;;;,,,,
divine_warrior;Divine Warrior;;;;;;,,,,
divine_warrior_desc;This character has been divined by the Gods as one of the strongest Warriors.;;;;;;,,,,
divine_steward;Divine Steward;;;;;;,,,,
divine_steward_desc;This character has been divined by the Gods as a true Steward.;;;;;;,,,,
divine_assassin;Divine Assassin;;;;;;,,,,
divine_assassin_desc;This character has been divined by the Gods as a true Assassin.;;;;;;,,,,
divine_theologian;Divine Theologian;;;;;;,,,,
divine_theologian_desc;This character has been divined by the Gods as a true Theologian.;;;;;;,,,,
kingofthegods;King of the Gods;;;;;;,,,,
kingofthegods_desc;This Character is the King of the Gods!;;;;;;,,,,
queenofthegods;Queen of the Gods;;;;;;,,,,
queenofthegods_desc;This Character is the Queen of the Gods!;;;;;;,,,,
evilking;King of the Evil Gods;;;;;;,,,,
evilking_desc;This Character is the King of the Evil Gods!;;;;;;,,,,
evilqueen;Queen of the Evil Gods;;;;;;,,,,
evilqueen_desc;This Character is the Queen of the Evil Gods!;;;;;;,,,,
haddream;Had a weird dream;;;;;;,,,,
haddream_desc;This character had a weird dream that is eating them up inside.;;;;;;,,,,
deniedseer;Denied Seer;;;;;;,,,,
deniedseer_desc;This Character has denied the Seer;;;;;;,,,,
hasmagicseer;Has a personal Seer;;;;;;,,,,
hasmagicseer_desc;This character has a personal Seer;;;;;;,,,,
magicseer;Magic Seer;;;;;;,,,,
magicseer_desc;This Character is a Seer;;;;;;,,,,
studentlight;Student of Light;;;;;;,,,,
studentlight_desc;This Character is a student of Light!;;;;;;,,,,
studentdark;Student of Darkness;;;;;;,,,,
studentdark_desc;This Character is a student of Darkness!;;;;;;,,,,
internallight;Internal Light;;;;;;,,,,
internallight_desc;This Character has the one true light inside them!;;;;;;,,,,
internaldarkness;Internal Darkness;;;;;;,,,,
internaldarkness_desc;This Character has the one true darkness inside them!;;;;;;,,,,
dead_target;Dead;;;;;;,,,,
dead_target_desc;Dead;;;;;;,,,,
godoflight;God of Light;;;;;;,
godoflight_desc;This character is the God of Light!;;;;;;,
godofstrategy;God of Strategy;;;;;;,
godofstrategy_desc;This character is the God of Strategy!;;;;;;,
godoffortune;God of Fortune;;;;;;,
godoffortune_desc;This character is the God of Fortune!;;;;;;,
godofsecrecy;God of Secrecy;;;;;;,
godofsecrecy_desc;This character is the God of Secrecy!;;;;;;,
godofknowledge;God of Knowledge;;;;;;,
godofknowledge_desc;This character is the God of Knowledge!;;;;;;,
godoffertility;God of Fertility;;;;;;,
godoffertility_desc;This character is the God of Fertility!;;;;;;,
godoftheseas;God of the Seas;;;;;;,
godoftheseas_desc;This character is the God of the Seas!;;;;;;,
godoffestivals;God of Festivals;;;;;;,
godoffestivals_desc;This character is the God of Festivals!;;;;;;,
godofdarkness;God of Darkness;;;;;;,
godofdarkness_desc;This character is the God of Darkness!;;;;;;,
godofwar;God of War;;;;;;,
godofwar_desc;This character is the God of War!;;;;;;,
godofgreed;God of Greed;;;;;;,
godofgreed_desc;This character is the God of Greed!;;;;;;,
godofthedead;God of the Dead;;;;;;,
godofthedead_desc;This character is the God of the Dead!;;;;;;,
godofdarkknowledge;God of Dark Knowledge;;;;;;,
godofdarkknowledge_desc;This character is the God of Dark Knowledge!;;;;;;,
godofadultery;God of Adultery;;;;;;,
godofadultery_desc;This character is the God of Adultery!;;;;;;,
godofearthquakes;God of Earthquakes;;;;;;,
godofearthquakes_desc;This character is the God of Earthquakes!;;;;;;,
godofchaos;God of Chaos;;;;;;,
godofchaos_desc;This character is the God of Chaos!;;;;;;,
goddessofthesun;Goddess of the Sun;;;;;;,
goddessofthesun_desc;This character is the Goddess of the Sun!;;;;;;,
goddessofprotection;Goddess of Protection;;;;;;,
goddessofprotection_desc;This character is the Goddess of Protection!;;;;;;,
goddessofharvest;Goddess of Harvest;;;;;;,
goddessofharvest_desc;This character is the Goddess of Harvest!;;;;;;,
goddessofsilence;Goddess of Silence;;;;;;,
goddessofsilence_desc;This character is the Goddess of Silence!;;;;;;,
goddessofwisdom;Goddess of Wisdom;;;;;;,
goddessofwisdom_desc;This character is the Goddess of Wisdom!;;;;;;,
goddessoflove;Goddess of Love;;;;;;,
goddessoflove_desc;This character is the Goddess of Love!;;;;;;,
goddessofrain;Goddess of Rain;;;;;;,
goddessofrain_desc;This character is the Goddess of Rain!;;;;;;,
goddessofwine;Goddess of Wine;;;;;;,
goddessofwine_desc;This character is the Goddess of Wine!;;;;;;,
goddessofthemoon;Goddess of the Moon;;;;;;,
goddessofthemoon_desc;This character is the Goddess of the Moon!;;;;;;,
goddessofdestruction;Goddess of Destruction;;;;;;,
goddessofdestruction_desc;This character is the Goddess of Destruction!;;;;;;,
goddessofdecadence;Goddess of Decadence;;;;;;,
goddessofdecadence_desc;This character is the Goddess of Decadence!;;;;;;,
goddessofmurder;Goddess of murder;;;;;;,
goddessofmurder_desc;This character is the Goddess of Murder!;;;;;;,
goddessofmanipulation;Goddess of Manipulation;;;;;;,
goddessofmanipulation_desc;This character is the Goddess of Manipulation!;;;;;;,
goddessoflust;Goddess of Lust;;;;;;,
goddessoflust_desc;This character is the Goddess of Lust!;;;;;;,
goddessoffire;Goddess of Fire;;;;;;,
goddessoffire_desc;This character is the Goddess of Fire!;;;;;;,
goddessofhunting;Goddess of Hunting;;;;;;,
goddessofhunting_desc;This character is the Goddess of Hunting!;;;;;;,
jotunn;Jotunn;;;;;;,
jotunn_desc;This Character is a Norse Giant! Known as the Jutnar!;;;;;;,
titan;Titan;;;;;;,
titan_desc;This Character is a Titan! The Gods of old, but is now under the commands of the Olympic Gods!;;;;;;
